ecosystem;time;d15N;N.ug;amountN.mg;d13C;C.ug;amountC.mg;N.perc;C.perc
Stream;15;4.27;29.55;15.929;-26.26;586.24;1.378;0.001854901;0.425426304
Stream;15;4.04;27.17;15.596;-26.29;650.00;1.521;0.001742218;0.427348094
Stream;15;3.93;30.52;16.682;-26.26;578.12;1.363;0.001829748;0.424150829
Stream;15;4.09;25.30;14.296;-26.22;568.29;1.329;0.001769872;0.427604719
Sea;15;4.46;28.62;16.044;-26.20;551.91;1.352;0.001784113;0.408220608
Sea;15;4.46;24.54;14.322;-26.27;601.11;1.494;0.001713537;0.402349975
Sea;15;4.61;28.34;15.998;-26.27;610.64;1.528;0.001771757;0.399635779
Sea;15;4.49;24.19;14.192;-26.22;558.63;1.295;0.001704784;0.431372065
Control;0;4.59;36.42;16.045;-26.26;529.19;1.248;0.002269977;0.424027915
Control;0;4.53;35.61;15.621;-26.32;588.47;1.39;0.002279606;0.423362287
Control;0;4.43;32.02;14.013;-26.26;552.96;1.325;0.002284979;0.417326319
Control;0;4.38;33.70;14.99;-26.44;547.71;1.35;0.002248317;0.405708036
Stream;41;4.04;24.81;13.725;-26.19;594.08;1.406;0.001807934;0.422534752
Stream;41;3.72;25.12;13.997;-26.26;607.56;1.427;0.001794966;0.425760916
Stream;41;3.57;27.89;15.434;-26.27;621.74;1.473;0.001806825;0.422088052
Stream;41;3.46;27.35;15.067;-26.29;548.24;1.286;0.001815514;0.426317439
Sea;41;4.55;31.21;13.226;-26.23;543.76;1.345;0.002359987;0.404285537
Sea;41;5.31;40.72;15.502;-26.25;608.59;1.631;0.002627069;0.373138742
Sea;41;4.57;35.99;16.528;-26.23;574.19;1.447;0.002177415;0.396811081
Sea;41;4.50;28.09;14.171;-26.06;508.10;1.254;0.001982157;0.405183937
Stream-to-Sea;41;4.16;30.53;15.643;-26.22;501.67;1.291;0.001951435;0.388592021
Stream-to-Sea;41;4.30;31.63;14.567;-26.30;625.22;1.578;0.002171052;0.396208205
Stream-to-Sea;41;4.40;30.51;15.606;-26.34;591.85;1.48;0.00195512;0.399900283
Stream-to-Sea;41;4.37;28.73;14.276;-26.18;576.30;1.463;0.00201244;0.393918547
Stream-to-Sea;15;4.27;29.55;15.929;-26.26;586.24;1.378;0.001854901;0.425426304
Stream-to-Sea;15;4.04;27.17;15.596;-26.29;650.00;1.521;0.001742218;0.427348094
Stream-to-Sea;15;3.93;30.52;16.682;-26.26;578.12;1.363;0.001829748;0.424150829
Stream-to-Sea;15;4.09;25.30;14.296;-26.22;568.29;1.329;0.001769872;0.427604719
